contract_name_links-href,Name,description,ContractType,LeadAgency
https://www.procurement.govt.nz/contracts/courier-services/,Courier services,This syndicated contract offers domestic and international courier services at competitive courier rates.,Syndicated,Accident Compensation Corporation
https://www.procurement.govt.nz/contracts/commercial-household-goods-and-appliances/,Commercial household goods and appliances,"This contract covers the provision of household goods and appliances including whiteware, televisions, small kitchen appliances, microwaves, stereos and AV cables.",Syndicated,Department of Corrections
https://www.procurement.govt.nz/contracts/bulk-ground-fuel/,Bulk ground fuel,"This contract covers bulk fuel (91, 95, 98 octane petrol and automotive diesel) delivered onsite to agency storage facilities.",Syndicated,New Zealand Defence Force
https://www.procurement.govt.nz/contracts/legislation-services/,Legislation services,This contract covers specialised legislative drafting and related services to participating agencies.,Syndicated,Parliamentary Counsel Office
https://www.procurement.govt.nz/contracts/amazon-web-services-cloud-services-agreement/,Amazon Web Services Cloud Services Agreement,The Amazon Web Services Cloud Services Agreement (ACSA) is a new Department of Internal Affairs AoG agreement that covers Amazon Web Services (AWS) public cloud and professional services.,DIA agreement,Department of Internal Affairs
https://www.procurement.govt.nz/contracts/rental-vehicles/,Rental vehicles,The general rentals and commercial rentals categories include nationwide rental vehicle providers and discounted fixed daily rates to ensure agencies continue to achieve the best possible value.,All-of-Government,"Ministry of Business, Innovation and Employment"
https://www.procurement.govt.nz/contracts/consultancy-services/gcdo-assurance-services-panel/,GCDO assurance services panel,A panel of 26 providers who specialise in the provision of Independent Quality Assurance (IQA) and Technical Quality Assurance (TQA) services for digital investments.,All-of-Government,"Ministry of Business, Innovation and Employment"
https://www.procurement.govt.nz/contracts/reticulated-gas/,Reticulated gas,The All-of-Government contract facilitates the supply of reticulated gas to participating agencies at a competitive market-aligned gas rate. Reticulated natural gas is distributed via pipelines in the North Island only.,All-of-Government,"Ministry of Business, Innovation and Employment"
https://www.procurement.govt.nz/contracts/external-recruitment-services/,External recruitment services,​This contract offers a comprehensive range of benefits for the most common types of New Zealand government recruitment.,All-of-Government,"Ministry of Business, Innovation and Employment"
https://www.procurement.govt.nz/contracts/air-travel-services/,Air travel services,An All-of-Government panel of 12 air travel services suppliers representing 15 airlines offer agencies extensive coverage to most corners of the globe.,All-of-Government,"Ministry of Business, Innovation and Employment"
https://www.procurement.govt.nz/contracts/retail-fuel/,Retail fuel,This contract covers extensive nationwide distribution channels for retail fuel.,Syndicated,New Zealand Defence Force
https://www.procurement.govt.nz/contracts/workplace-and-classroom-furniture/,Workplace and classroom furniture,"This contract covers workplace and classroom furniture and related services including seating, tables, workstation accessories, furniture maintenance, repair, refurbishment, planning and design, and delivery.",Common Capability,"Ministry of Business, Innovation and Employment"
https://www.procurement.govt.nz/contracts/marine-fuel/,Marine fuel,This contract covers fuel provision at international ports and bulk fuel storage facilities through specific arrangements between the agency and supplier.,Syndicated,New Zealand Defence Force
https://www.procurement.govt.nz/contracts/iaas-infrastructure-as-a-service/,IaaS (Infrastructure as a Service),IaaS is a vendor hosted and managed solution that allows agencies to buy their ICT infrastructure on demand.,ICT Common Capability,Department of Internal Affairs
https://www.procurement.govt.nz/contracts/fleet-management-services/,Fleet management services,"This contract covers scheduled and non-scheduled servicing, tyre and brake management, and mechanical repairs to vehicles, trailers and motorcycles.",Syndicated,New Zealand Police
https://www.procurement.govt.nz/contracts/desktop-as-a-service-daas/,Desktop as a Service (DaaS),Desktop as a Service (DaaS) is a provider hosted and managed end-to-end desktop service with options that accommodate virtual and traditional desktops and a variety of service and management models.,ICT Common Capability,Department of Internal Affairs
https://www.procurement.govt.nz/contracts/data-cabling-project-work/,Data cabling - project work,This contract covers data cabling for project work as part of the cabling panel.,Syndicated,New Zealand Police
https://www.procurement.govt.nz/contracts/catering-equipment-and-supplies/,Catering equipment and supplies,"The contract covers the provision of catering equipment and supplies ranging from crockery, cutlery, glassware, tableware, knives, cookware and utensils, bakery, barware and more.",Syndicated,New Zealand Defence Force
https://www.procurement.govt.nz/contracts/accident-management-services/,Accident management services,"This contract covers the provision of round-the-clock 0800 call out service for reporting accidents, and more.",Syndicated,New Zealand Police
https://www.procurement.govt.nz/contracts/sap-cloud-framework-agreement/,SAP cloud framework agreement,The SAP cloud framework agreement (CFA) provides a pan-government contract that allows eligible government agencies to buy SAP cloud software and professional services under standardised terms.,DIA agreement,Department of Internal Affairs
https://www.procurement.govt.nz/contracts/face-to-face-interpreting-services/,Face to face interpreting services,"This contract covers face to face interpreting in a range of languages, including Te Reo Māori and New Zealand Sign Language.",Syndicated,"Ministry of Business, Innovation and Employment"
https://www.procurement.govt.nz/contracts/peppol-capabilities-and-associated-services-including-e-invoicing/,PEPPOL capabilities and associated services (including e-Invoicing),"This contract covers the provision of PEPPOL capabilities and associated services, allowing the adoption of a standard approach to e-Invoicing.",Syndicated,"Ministry of Business, Innovation and Employment"
https://www.procurement.govt.nz/contracts/construction-consultancy-services-2/,Construction consultancy services,The All-of-Government (AoG) construction consultancy services (CCS) solution gives eligible agencies access to a panel of providers that offer specialist advice. It replaces the syndicated agreement that was led by the Department of Corrections for construction consultancy services.,All-of-Government,"Ministry of Business, Innovation and Employment"
https://www.procurement.govt.nz/contracts/facial-recognition-as-a-service/,Facial recognition as-a-service,This contract covers the supply of facial recognition under an as-a-service construct.,Syndicated,Department of Internal Affairs
https://www.procurement.govt.nz/contracts/travel-management-services/,Travel management services,An All-of-Government panel of five nationwide travel management providers with services designed to meet participating agencies' business travel requirements.,All-of-Government,"Ministry of Business, Innovation and Employment"
https://www.procurement.govt.nz/contracts/consultancy-services/protective-security-services-sub-panel/,Protective security services sub-panel,The Protective security services sub-panel is a risk based protective security framework which provides holistic protective security policies and guidance for agencies.,All-of-Government,"Ministry of Business, Innovation and Employment"
https://www.procurement.govt.nz/contracts/media/,Media,"An All-of-Government panel of 19 suppliers offering discounted advertising rates across television, radio, print, digital, out of home, and cinema channels, with the ability to add emerging media.",All-of-Government,"Ministry of Business, Innovation and Employment"
https://www.procurement.govt.nz/contracts/print-technology-and-associated-services/,Print technology and associated services,The All-of-Government (AoG) print technology and associated services (PTAS) contract covers printers/copiers/scanners and associated services.,All-of-Government,"Ministry of Business, Innovation and Employment"
https://www.procurement.govt.nz/contracts/consultancy-services/,Consultancy services,This All-of-Government contract offers specialist consultancy advice and competitive solutions from a panel of experienced consultancy providers across 11 sub-categories.,All-of-Government,"Ministry of Business, Innovation and Employment"
https://www.procurement.govt.nz/contracts/advertising-services/,Advertising services,"An All-of-Government panel of 136 providers offering client services, creative and production, and media services across print, broadcast, digital, out-of-home, and emerging media.",All-of-Government,"Ministry of Business, Innovation and Employment"
https://www.procurement.govt.nz/contracts/media-monitoring/,Media monitoring,"A panel contract for media monitoring covering five categories: print media, broadcast media, online media, social media; and reporting evaluation and analytical services.",Syndicated,"Ministry of Business, Innovation and Employment"
https://www.procurement.govt.nz/contracts/external-print-and-associated-services/,External print and associated services,"This contract covers pre-print and print services, warehousing/storage of printed materials, mail-house services, and digital asset management.",Syndicated,Ministry of Social Development
https://www.procurement.govt.nz/contracts/data-publishing/,Data publishing,"Intelligent data service for New Zealand government agencies to publish geospatial/GIS, tabular and document data online.",Syndicated,Land Information New Zealand
https://www.procurement.govt.nz/contracts/tailored-cleaning-services/,Tailored cleaning services,This nationwide contract covers access to a comprehensive range of cleaning services capable of being tailored to meet an agency’s specific requirements. The supplier is Spotless.,Syndicated,New Zealand Post Limited
https://www.procurement.govt.nz/contracts/agile-logistics/,Agile logistics,"The contract covers a range of services including consultancy and independent partnering, maintenance and repair and overhaul services, warehousing and operational rations.",Syndicated,New Zealand Defence Force
https://www.procurement.govt.nz/contracts/catalyst-cloud-framework-agreement/,Catalyst cloud framework agreement,The Catalyst cloud framework agreement is an all-of-government agreement that covers catalyst cloud’s public cloud services and professional services.,DIA agreement,Department of Internal Affairs
https://www.procurement.govt.nz/contracts/telephone-and-video-interpreting-services/,Telephone and video interpreting services,Telephone and video interpreting services enables participating agencies to purchase on demand telephone and video interpreting services available 24/7.,Syndicated,"Ministry of Business, Innovation and Employment"
https://www.procurement.govt.nz/contracts/supply-of-rations/,Supply of rations,This contract covers the provision of rations and related support services. The supplier is Bidfood Limited.,Syndicated,New Zealand Defence Force
https://www.procurement.govt.nz/contracts/facilities-management-services/,Facilities management services,"A panel of facilities management services providers who can deliver a range of management, technical and non-technical services to eligible government agencies.",All-of-Government,"Ministry of Business, Innovation and Employment"
https://www.procurement.govt.nz/contracts/motor-vehicles/,Motor vehicles,"The All-of-Government (AoG) motor vehicles contract provides fit-for-purpose, safe vehicles, including electric vehicles (EVs), at the lowest possible total cost of ownership across the life of the vehicle.",All-of-Government,"Ministry of Business, Innovation and Employment"
https://www.procurement.govt.nz/contracts/electricity/,Electricity,The All-of-Government electricity contract covers the supply of electricity and associated services.,All-of-Government,"Ministry of Business, Innovation and Employment"
https://www.procurement.govt.nz/contracts/waste-management-services/,Waste management services,"This contract covers office waste and recycling including general waste, recyclable materials, batteries, and furniture.",Syndicated,Department of Corrections
https://www.procurement.govt.nz/contracts/telecommunications-as-a-service/,Telecommunications as a Service,"TaaS delivers a range of cross-government network, telecommunications and managed security services.",ICT Common Capability,Department of Internal Affairs
https://www.procurement.govt.nz/contracts/personal-duress-and-safety-alarms-and-monitoring/,Personal duress and safety alarms and monitoring,Personal duress alarm and monitoring solutions to address the risk of harm to staff when they are carrying out business outside of agency premises.,Syndicated,Accident Compensation Corporation
https://www.procurement.govt.nz/contracts/lubricants/,Lubricants,"A panel contract for oils, lubricants, hydraulic fluids, and coolants. The contract also provides for other related services including training.",Syndicated,New Zealand Defence Force
https://www.procurement.govt.nz/contracts/hris-software-solution/,HRIS - Software Solution,Human Resources Information System (HRIS) offers a cloud-based suite of tools to manage and analyse employee records and automate HR processes.,ICT Common Capability,Department of Internal Affairs
https://www.procurement.govt.nz/contracts/first-aid-training-and-related-services/,First aid training and related services,This contract covers the provision of first aid training and related services for agency staff.,Syndicated,New Zealand Police
https://www.procurement.govt.nz/contracts/employee-health-management-services/,Employee health management services,This is a group of panels contracted to deliver Employee Health Management Services.,Syndicated,Ministry of Social Development
https://www.procurement.govt.nz/contracts/oracle-software-framework-agreement/,Oracle software framework agreement,"The Oracle software framework agreement is an all-of-government contract that allows eligible government agencies to buy new software licences, cloud services and appliances from Oracle under standardised terms.",DIA agreement,Department of Internal Affairs
https://www.procurement.govt.nz/contracts/carbon-emission-reduction-programme/,Carbon emission reduction programme,"This Letter of Offer includes preferential government pricing for Toitū carbonreduce: a carbon emission reduction programme to measure, manage and reduce carbon emissions.",Letter of Offer,Prashant Kim
https://www.procurement.govt.nz/contracts/kauri-dieback-cleaning-stations-fabricators/,Kauri dieback cleaning stations fabricators,This contract covers the supply of Kauri dieback cleaning stations.,Syndicated,Department of Conservation
https://www.procurement.govt.nz/contracts/residential-relocation-and-storage-services/,Residential relocation and storage services,This contract covers the supply of residential relocation and storage services (domestic and international). This contract does not cover office relocation services.,Syndicated,New Zealand Defence Force
https://www.procurement.govt.nz/contracts/microsoft-cloud-software-and-service-agreement-mcssa/,"Microsoft cloud, software and service agreement (MCSSA)","The Microsoft Cloud, Software and Services Agreement (MCSSA) is a cross-government Microsoft volume licensing agreement that includes subscription-based, perpetual, and cloud services licensing.",DIA agreement,Department of Internal Affairs
https://www.procurement.govt.nz/contracts/office-supplies/,​Office supplies,"The All-of-Government office supplies contract covers stationery, cleaning, hygiene and washroom consumables, ICT consumables, educational supplies, health and safety products, and milk and milk alternatives.",All-of-Government,"Ministry of Business, Innovation and Employment"
